"WorkItemID","RequirementID","Priority","SubsystemCode","AssignedToID","AssignedToName","OpenedDate","ClosedDate","EstimateHours","ActualHours","WorkItemStatus"
"WI-0205","REQ-0101","ShouldShip","COMM-LNK","P-007","Grace Baptiste","2025-11-16","2026-01-05","17.1","23.1","Closed"
"WI-0206","REQ-0102","MustShip","PWR-MGMT","P-004","Dmitri Eriksen","2025-09-05","2025-10-23","15.4","20.5","Closed"
"WI-0207","REQ-0103","ShouldShip","COMM-LNK","P-004","Dmitri Eriksen","2025-08-09","2025-09-01","5.4","5.5","Closed"
"WI-0208","REQ-0103","ShouldShip","COMM-LNK","P-015","Olabisi Jindal","2025-07-14","2025-08-16","26.5","30.1","Closed"
"WI-0209","REQ-0104","ShouldShip","STRUCT-I","P-021","Ulrike Dalgleish","2026-02-02","2026-03-14","33.3","41.1","Closed"
"WI-0210","REQ-0104","ShouldShip","STRUCT-I","P-017","Quentin Zielinski","2025-05-16","2025-05-22","31.2","24.8","Closed"
"WI-0211","REQ-0105","ShouldShip","DIAG-LOG","P-003","Camille Villalobos","2025-12-25","2026-02-06","6.0","7.7","Closed"
"WI-0212","REQ-0105","ShouldShip","DIAG-LOG","P-008","Hiroshi Ibarra","2025-11-30","2026-01-05","34.5","40.7","Closed"
"WI-0213","REQ-0106","MustShip","FLT-CTRL","P-003","Camille Villalobos","2026-05-24","2026-06-12","31.7","30.6","Closed"
"WI-0214","REQ-0106","MustShip","FLT-CTRL","P-020","Tomas Ustinov","2025-06-21","2025-08-11","18.5","25.3","Closed"
"WI-0215","REQ-0106","MustShip","FLT-CTRL","P-002","Bruno Oyelaran","2026-02-20","2026-03-24","27.2","30.6","Closed"
"WI-0216","REQ-0107","ShouldShip","GND-CTRL","P-018","Rafael Grigorescu","2026-06-17","2026-07-01","21.9","19.5","Closed"
"WI-0217","REQ-0108","Nice","STRUCT-I","P-002","Bruno Oyelaran","2025-08-05","2025-09-15","29.8","36.9","Closed"
"WI-0218","REQ-0109","MustShip","REL-MECH","P-012","Liam Moreau","2025-07-30","","31.6","","InProgress"
"WI-0219","REQ-0110","ShouldShip","COMM-LNK","P-004","Dmitri Eriksen","2025-09-09","2025-10-24","3.6","4.7","Closed"
"WI-0220","REQ-0111","ShouldShip","NAV-SENS","P-007","Grace Baptiste","2026-01-19","2026-02-25","34.5","41.2","Closed"
"WI-0221","REQ-0111","ShouldShip","NAV-SENS","P-021","Ulrike Dalgleish","2026-04-21","2026-05-07","8.4","7.7","Closed"
"WI-0222","REQ-0111","ShouldShip","NAV-SENS","P-001","Aditi Halvorsen","2025-08-19","2025-08-24","28.2","21.9","Closed"
"WI-0223","REQ-0112","ShouldShip","DIAG-LOG","P-020","Tomas Ustinov","2025-01-13","2025-03-07","26.4","36.7","Closed"
"WI-0224","REQ-0112","ShouldShip","DIAG-LOG","P-018","Rafael Grigorescu","2025-11-22","2026-01-04","2.1","2.6","Closed"
"WI-0225","REQ-0113","MustShip","REL-MECH","P-015","Olabisi Jindal","2025-02-06","2025-03-08","20.3","22.5","Closed"
"WI-0226","REQ-0114","Nice","NAV-SENS","P-003","Camille Villalobos","2025-01-15","2025-01-26","28.0","24.0","Closed"
"WI-0227","REQ-0114","Nice","NAV-SENS","P-007","Grace Baptiste","2025-10-25","2025-11-10","19.9","18.2","Closed"
"WI-0228","REQ-0114","Nice","NAV-SENS","P-003","Camille Villalobos","2025-11-02","2025-12-18","14.4","18.8","Closed"
"WI-0229","REQ-0115","MustShip","FLT-CTRL","P-008","Hiroshi Ibarra","2025-12-23","2026-01-07","9.7","8.9","Closed"
"WI-0230","REQ-0115","MustShip","FLT-CTRL","P-017","Quentin Zielinski","2026-01-07","2026-01-21","15.9","14.3","Closed"
"WI-0231","REQ-0116","MustShip","COMM-LNK","P-005","Elena Lindqvist","2025-06-09","2025-07-19","26.1","32.1","Closed"
"WI-0232","REQ-0117","ShouldShip","GND-CTRL","P-008","Hiroshi Ibarra","2026-01-16","2026-03-05","9.5","12.7","Closed"
"WI-0233","REQ-0117","ShouldShip","GND-CTRL","P-010","Jonas Weatherby","2026-01-21","2026-02-01","9.3","8.0","Closed"
"WI-0234","REQ-0117","ShouldShip","GND-CTRL","P-019","Sana Nakamura","2025-03-15","2025-04-25","3.6","4.4","Closed"
"WI-0235","REQ-0118","MustShip","REL-MECH","P-014","Nils Castellan","2026-03-30","2026-04-23","34.9","35.7","Closed"
"WI-0236","REQ-0119","Nice","PWR-MGMT","P-014","Nils Castellan","2025-04-09","2025-05-10","19.6","21.8","Closed"
"WI-0237","REQ-0120","Nice","FLT-CTRL","P-015","Olabisi Jindal","2025-02-16","2025-03-27","15.3","18.6","Closed"
"WI-0238","REQ-0120","Nice","FLT-CTRL","P-011","Katya Fairweather","2025-04-30","2025-06-08","4.5","5.4","Closed"
"WI-0239","REQ-0121","ShouldShip","GND-CTRL","P-001","Aditi Halvorsen","2025-01-15","","8.8","","InProgress"
"WI-0240","REQ-0121","ShouldShip","GND-CTRL","P-012","Liam Moreau","2026-04-13","2026-05-04","29.9","29.6","Closed"
"WI-0241","REQ-0121","ShouldShip","GND-CTRL","P-005","Elena Lindqvist","2025-12-07","","16.8","","InProgress"
"WI-0242","REQ-0121","ShouldShip","GND-CTRL","P-006","Farid Saltzman","2025-06-10","2025-07-02","3.0","3.0","Closed"
"WI-0243","REQ-0122","MustShip","COMM-LNK","P-003","Camille Villalobos","2025-08-07","2025-09-28","19.9","27.4","Closed"
"WI-0244","REQ-0122","MustShip","COMM-LNK","P-003","Camille Villalobos","2026-03-31","2026-04-12","8.1","7.0","Closed"
"WI-0245","REQ-0122","MustShip","COMM-LNK","P-006","Farid Saltzman","2025-05-19","2025-07-04","23.5","30.7","Closed"
"WI-0246","REQ-0123","Nice","FLT-CTRL","P-010","Jonas Weatherby","2026-05-15","2026-07-09","21.0","29.7","Closed"
"WI-0247","REQ-0123","Nice","FLT-CTRL","P-009","Imani Petrovic","2025-12-26","2026-02-06","35.8","44.7","Closed"
"WI-0248","REQ-0123","Nice","FLT-CTRL","P-009","Imani Petrovic","2026-01-19","2026-02-23","35.3","40.9","Closed"
"WI-0249","REQ-0124","MustShip","PWR-MGMT","P-004","Dmitri Eriksen","2025-06-13","2025-08-09","32.5","46.8","Closed"
"WI-0250","REQ-0124","MustShip","PWR-MGMT","P-009","Imani Petrovic","2025-08-31","2025-09-22","6.3","6.3","Closed"
"WI-0251","REQ-0125","ShouldShip","FLT-CTRL","P-013","Mei Thackeray","2026-02-12","2026-04-01","8.0","10.6","Closed"
"WI-0252","REQ-0125","ShouldShip","FLT-CTRL","P-005","Elena Lindqvist","2025-08-19","2025-09-29","29.6","36.6","Closed"
"WI-0253","REQ-0126","Nice","COMM-LNK","P-012","Liam Moreau","2026-01-26","2026-03-24","17.5","25.2","Closed"
"WI-0254","REQ-0126","Nice","COMM-LNK","P-018","Rafael Grigorescu","2025-03-20","2025-04-18","6.9","7.5","Closed"
"WI-0255","REQ-0127","MustShip","NAV-SENS","P-021","Ulrike Dalgleish","2026-04-24","2026-05-04","6.4","5.4","Closed"
"WI-0256","REQ-0128","Nice","REL-MECH","P-015","Olabisi Jindal","2026-06-05","2026-07-16","12.9","16.0","Closed"
"WI-0257","REQ-0128","Nice","REL-MECH","P-005","Elena Lindqvist","2026-01-28","2026-03-24","20.0","28.3","Closed"
"WI-0258","REQ-0128","Nice","REL-MECH","P-008","Hiroshi Ibarra","2025-11-01","","2.1","","InProgress"
"WI-0259","REQ-0129","Nice","FLT-CTRL","P-003","Camille Villalobos","2025-09-14","2025-11-02","10.2","13.7","Closed"
"WI-0260","REQ-0130","ShouldShip","GND-CTRL","P-016","Priya Quintana","2025-11-23","2025-12-18","25.5","26.3","Closed"
"WI-0261","REQ-0130","ShouldShip","GND-CTRL","P-010","Jonas Weatherby","2025-10-05","2025-10-19","23.4","21.0","Closed"
"WI-0262","REQ-0130","ShouldShip","GND-CTRL","P-015","Olabisi Jindal","2025-12-07","2025-12-21","34.4","31.1","Closed"
"WI-0263","REQ-0131","Nice","PWR-MGMT","P-009","Imani Petrovic","2025-06-27","2025-07-09","14.9","13.0","Closed"
"WI-0264","REQ-0131","Nice","PWR-MGMT","P-018","Rafael Grigorescu","2026-04-20","2026-04-23","24.2","18.4","Closed"
"WI-0265","REQ-0132","ShouldShip","FLT-CTRL","P-010","Jonas Weatherby","2025-11-08","2025-12-29","17.5","23.9","Closed"
"WI-0266","REQ-0132","ShouldShip","FLT-CTRL","P-001","Aditi Halvorsen","2025-01-08","2025-02-15","31.5","37.9","Closed"
"WI-0267","REQ-0132","ShouldShip","FLT-CTRL","P-010","Jonas Weatherby","2025-04-05","2025-05-17","15.6","19.5","Closed"
"WI-0268","REQ-0133","MustShip","FLT-CTRL","P-010","Jonas Weatherby","2026-04-15","2026-06-04","14.0","19.0","Closed"
"WI-0269","REQ-0134","MustShip","GND-CTRL","P-013","Mei Thackeray","2026-01-16","","6.6","","InProgress"
"WI-0270","REQ-0134","MustShip","GND-CTRL","P-021","Ulrike Dalgleish","2026-04-15","2026-06-01","26.6","34.8","Closed"
"WI-0271","REQ-0137","MustShip","STRUCT-I","P-001","Aditi Halvorsen","2025-05-07","2025-05-01","12.9","14.0","Closed"
"WI-0272","REQ-0138","Nice","FLT-CTRL","P-010","Jonas Weatherby","2025-11-27","2025-12-01","35.7","27.3","Closed"
"WI-0273","REQ-0138","Nice","FLT-CTRL","P-012","Liam Moreau","2025-01-12","2025-01-23","14.0","12.1","Closed"
"WI-0274","REQ-0139","ShouldShip","STRUCT-I","P-014","Nils Castellan","2025-02-21","2025-03-03","32.1","27.3","Closed"
"WI-0275","REQ-0140","MustShip","PWR-MGMT","P-005","Elena Lindqvist","2025-05-23","2025-06-23","25.3","28.2","Closed"
"WI-0276","REQ-0141","MustShip","REL-MECH","P-020","Tomas Ustinov","2026-03-23","2026-04-02","8.3","7.0","Closed"
"WI-0277","REQ-0141","MustShip","REL-MECH","P-004","Dmitri Eriksen","2025-03-01","2025-03-09","21.7","17.9","Closed"
"WI-0278","REQ-0142","MustShip","GND-CTRL","P-014","Nils Castellan","2026-03-14","","3.5","","InProgress"
"WI-0279","REQ-0143","ShouldShip","REL-MECH","P-001","Aditi Halvorsen","2026-06-15","2026-07-04","15.3","14.7","Closed"
"WI-0280","REQ-0143","ShouldShip","REL-MECH","P-015","Olabisi Jindal","2025-01-26","2025-02-09","21.7","19.4","Closed"
"WI-0281","REQ-0143","ShouldShip","REL-MECH","P-021","Ulrike Dalgleish","2025-03-20","2025-04-20","13.1","14.6","Closed"
"WI-0282","REQ-0144","MustShip","DIAG-LOG","P-002","Bruno Oyelaran","2025-04-19","2025-05-22","31.0","35.4","Closed"
"WI-0283","REQ-0144","MustShip","DIAG-LOG","P-018","Rafael Grigorescu","2025-02-16","2025-04-14","5.5","7.9","Closed"
"WI-0284","REQ-0145","Nice","DIAG-LOG","P-003","Camille Villalobos","2025-05-28","2025-07-06","9.8","11.8","Closed"
"WI-0285","REQ-0145","Nice","DIAG-LOG","P-019","Sana Nakamura","2025-06-24","2025-08-06","14.8","18.7","Closed"
"WI-0286","REQ-0145","Nice","DIAG-LOG","P-001","Aditi Halvorsen","2025-09-06","2025-10-14","12.3","14.8","Closed"
"WI-0287","REQ-0146","MustShip","STRUCT-I","P-005","Elena Lindqvist","2025-02-04","2025-03-08","16.4","18.6","Closed"
"WI-0288","REQ-0146","MustShip","STRUCT-I","P-018","Rafael Grigorescu","2025-07-15","2025-08-08","33.1","33.9","Closed"
"WI-0289","REQ-0147","ShouldShip","REL-MECH","P-018","Rafael Grigorescu","2026-03-11","2026-04-23","7.8","9.9","Closed"
"WI-0290","REQ-0148","ShouldShip","FLT-CTRL","P-014","Nils Castellan","2025-08-06","2025-08-14","4.0","3.3","Closed"
"WI-0291","REQ-0148","ShouldShip","FLT-CTRL","P-001","Aditi Halvorsen","2026-04-02","2026-04-11","20.8","17.3","Closed"
"WI-0292","REQ-0149","MustShip","REL-MECH","P-012","Liam Moreau","2025-10-19","2025-11-08","12.9","12.5","Closed"
"WI-0293","REQ-0149","MustShip","REL-MECH","P-001","Aditi Halvorsen","2025-06-07","2025-07-08","35.9","39.9","Closed"
"WI-0294","REQ-0149","MustShip","REL-MECH","P-021","Ulrike Dalgleish","2026-03-06","2026-04-12","20.1","24.0","Closed"
"WI-0295","REQ-0150","ShouldShip","NAV-SENS","P-004","Dmitri Eriksen","2025-07-12","2025-08-19","17.9","21.6","Closed"
"WI-0296","REQ-0151","Nice","PWR-MGMT","P-015","Olabisi Jindal","2025-05-23","2025-06-23","8.0","9.0","Closed"
"WI-0297","REQ-0152","ShouldShip","DIAG-LOG","P-009","Imani Petrovic","2026-03-13","2026-04-18","9.0","10.6","Closed"
"WI-0298","REQ-0152","ShouldShip","DIAG-LOG","P-020","Tomas Ustinov","2025-01-13","2025-02-13","16.5","18.4","Closed"
"WI-0299","REQ-0153","MustShip","REL-MECH","P-003","Camille Villalobos","2025-05-10","2025-06-13","20.5","23.5","Closed"
"WI-0300","REQ-0154","MustShip","REL-MECH","P-012","Liam Moreau","2025-06-22","2025-08-11","17.8","24.0","Closed"
"WI-0301","REQ-0155","MustShip","PWR-MGMT","P-001","Aditi Halvorsen","2026-05-13","2026-05-29","27.1","24.9","Closed"
"WI-0302","REQ-0155","MustShip","PWR-MGMT","P-018","Rafael Grigorescu","2026-01-21","2026-02-04","7.1","6.4","Closed"
"WI-0303","REQ-0156","ShouldShip","GND-CTRL","P-019","Sana Nakamura","2025-09-10","2025-10-25","8.8","11.4","Closed"
"WI-0304","REQ-0157","MustShip","REL-MECH","P-010","Jonas Weatherby","2026-05-09","2026-07-04","31.8","45.6","Closed"
"WI-0305","REQ-0157","MustShip","REL-MECH","P-004","Dmitri Eriksen","2026-04-26","2026-06-05","32.1","39.4","Closed"
"WI-0306","REQ-0157","MustShip","REL-MECH","P-021","Ulrike Dalgleish","2025-12-11","2025-12-20","21.5","18.0","Closed"
"WI-0307","REQ-0158","MustShip","STRUCT-I","P-012","Liam Moreau","2025-03-25","2025-05-20","11.2","16.0","Closed"
"WI-0308","REQ-0158","MustShip","STRUCT-I","P-001","Aditi Halvorsen","2025-12-05","2025-12-15","10.1","8.5","Closed"
"WI-0309","REQ-0159","ShouldShip","NAV-SENS","P-001","Aditi Halvorsen","2025-02-28","2025-04-10","4.9","6.0","Closed"
"WI-0310","REQ-0159","ShouldShip","NAV-SENS","P-020","Tomas Ustinov","2025-08-24","2025-10-18","12.0","17.1","Closed"
"WI-0311","REQ-0159","ShouldShip","NAV-SENS","P-016","Priya Quintana","2025-10-27","2025-12-13","21.1","27.8","Closed"
"WI-0312","REQ-0160","ShouldShip","NAV-SENS","P-006","Farid Saltzman","2026-06-24","2026-08-12","30.7","41.0","Closed"
"WI-0313","REQ-0160","ShouldShip","NAV-SENS","P-020","Tomas Ustinov","2025-12-25","2026-01-08","21.0","18.9","Closed"
"WI-0314","REQ-0160","ShouldShip","NAV-SENS","P-014","Nils Castellan","2026-06-09","2026-06-13","33.8","26.2","Closed"
"WI-0315","REQ-0161","MustShip","PWR-MGMT","P-004","Dmitri Eriksen","2026-04-14","2026-05-29","9.1","11.8","Closed"
"WI-0316","REQ-0161","MustShip","PWR-MGMT","P-021","Ulrike Dalgleish","2025-10-11","2025-10-19","22.9","18.8","Closed"
"WI-0317","REQ-0161","MustShip","PWR-MGMT","P-019","Sana Nakamura","2025-12-17","2025-12-29","25.2","21.9","Closed"
"WI-0318","REQ-0161","MustShip","PWR-MGMT","P-006","Farid Saltzman","2025-03-18","","19.4","","InProgress"
"WI-0319","REQ-0162","ShouldShip","PWR-MGMT","P-002","Bruno Oyelaran","2026-04-07","2026-04-13","34.4","27.3","Closed"
"WI-0320","REQ-0163","Nice","DIAG-LOG","P-003","Camille Villalobos","2025-04-18","2025-05-16","20.2","21.7","Closed"
"WI-0321","REQ-0164","MustShip","REL-MECH","P-011","Katya Fairweather","2026-03-20","2026-04-23","27.1","31.2","Closed"
"WI-0322","REQ-0164","MustShip","REL-MECH","P-005","Elena Lindqvist","2025-11-02","","20.1","","InProgress"
"WI-0323","REQ-0164","MustShip","REL-MECH","P-005","Elena Lindqvist","2026-04-27","2026-06-15","19.7","26.5","Closed"
"WI-0324","REQ-0165","MustShip","REL-MECH","P-017","Quentin Zielinski","2026-06-06","2026-06-26","19.7","19.1","Closed"
"WI-0325","REQ-0165","MustShip","REL-MECH","P-011","Katya Fairweather","2025-07-28","2025-08-05","20.2","16.7","Closed"
"WI-0326","REQ-0165","MustShip","REL-MECH","P-009","Imani Petrovic","2026-03-22","2026-04-23","30.5","34.3","Closed"
"WI-0327","REQ-0166","MustShip","REL-MECH","P-004","Dmitri Eriksen","2025-01-18","2025-02-14","14.3","15.2","Closed"
"WI-0328","REQ-0166","MustShip","REL-MECH","P-012","Liam Moreau","2025-02-28","2025-04-12","2.1","2.7","Closed"
"WI-0329","REQ-0167","MustShip","REL-MECH","P-016","Priya Quintana","2025-05-15","2025-05-27","4.8","4.2","Closed"
"WI-0330","REQ-0168","MustShip","GND-CTRL","P-002","Bruno Oyelaran","2026-04-28","2026-06-03","27.0","31.8","Closed"
"WI-0331","REQ-0169","MustShip","REL-MECH","P-016","Priya Quintana","2026-01-20","2026-02-18","2.5","2.7","Closed"
"WI-0332","REQ-0169","MustShip","REL-MECH","P-019","Sana Nakamura","2025-08-12","2025-09-03","7.7","7.7","Closed"
"WI-0333","REQ-0169","MustShip","REL-MECH","P-013","Mei Thackeray","2025-02-28","2025-04-16","29.4","38.7","Closed"
"WI-0334","REQ-0170","Nice","GND-CTRL","P-013","Mei Thackeray","2025-11-20","2025-12-21","5.8","6.5","Closed"
"WI-0335","REQ-0170","Nice","GND-CTRL","P-001","Aditi Halvorsen","2025-05-13","2025-06-19","33.1","39.5","Closed"
"WI-0336","REQ-0171","ShouldShip","PWR-MGMT","P-016","Priya Quintana","2025-08-20","2025-09-19","9.1","10.0","Closed"
"WI-0337","REQ-0171","ShouldShip","PWR-MGMT","P-014","Nils Castellan","2025-05-13","2025-06-15","24.9","28.2","Closed"
"WI-0338","REQ-0171","ShouldShip","PWR-MGMT","P-013","Mei Thackeray","2026-06-29","2026-07-20","18.0","17.7","Closed"
"WI-0339","REQ-0172","MustShip","NAV-SENS","P-017","Quentin Zielinski","2025-01-23","2025-02-04","32.9","28.4","Closed"
"WI-0340","REQ-0173","MustShip","COMM-LNK","P-008","Hiroshi Ibarra","2026-06-17","2026-08-08","13.2","18.2","Closed"
"WI-0341","REQ-0173","MustShip","COMM-LNK","P-009","Imani Petrovic","2025-04-09","2025-05-11","28.1","31.7","Closed"
"WI-0342","REQ-0175","MustShip","COMM-LNK","P-019","Sana Nakamura","2025-05-07","2025-05-18","10.9","9.3","Closed"
"WI-0343","REQ-0176","MustShip","REL-MECH","P-010","Jonas Weatherby","2025-11-13","","34.7","","Open"
"WI-0344","REQ-0176","MustShip","REL-MECH","P-010","Jonas Weatherby","2026-03-23","2026-04-21","9.7","10.5","Closed"
"WI-0345","REQ-0177","MustShip","COMM-LNK","P-020","Tomas Ustinov","2025-09-16","2025-11-02","20.6","27.2","Closed"
"WI-0346","REQ-0177","MustShip","COMM-LNK","P-018","Rafael Grigorescu","2026-05-25","2026-06-09","10.2","9.3","Closed"
"WI-0347","REQ-0177","MustShip","COMM-LNK","P-019","Sana Nakamura","2026-01-23","2026-02-03","19.8","17.0","Closed"
"WI-0348","REQ-0178","MustShip","FLT-CTRL","P-004","Dmitri Eriksen","2025-04-23","2025-05-10","17.3","16.2","Closed"
"WI-0349","REQ-0180","Nice","GND-CTRL","P-005","Elena Lindqvist","2026-04-11","2026-05-18","27.0","32.2","Closed"
"WI-0350","REQ-0180","Nice","GND-CTRL","P-011","Katya Fairweather","2026-02-12","2026-03-11","25.7","27.4","Closed"
"WI-0351","REQ-0181","MustShip","REL-MECH","P-003","Camille Villalobos","2026-03-15","","24.1","","Open"
"WI-0352","REQ-0181","MustShip","REL-MECH","P-010","Jonas Weatherby","2025-09-14","2025-09-21","8.9","7.2","Closed"
"WI-0353","REQ-0182","Nice","STRUCT-I","P-008","Hiroshi Ibarra","2025-05-14","2025-06-15","32.6","36.5","Closed"
"WI-0354","REQ-0182","Nice","STRUCT-I","P-006","Farid Saltzman","2025-11-20","2025-12-23","24.9","28.2","Closed"
"WI-0355","REQ-0182","Nice","STRUCT-I","P-017","Quentin Zielinski","2026-04-15","2026-05-28","35.0","44.3","Closed"
"WI-0356","REQ-0184","Nice","PWR-MGMT","P-017","Quentin Zielinski","2026-04-01","2026-04-23","2.5","2.5","Closed"
"WI-0357","REQ-0185","MustShip","GND-CTRL","P-019","Sana Nakamura","2025-09-06","2025-09-18","24.1","21.0","Closed"
"WI-0358","REQ-0185","MustShip","GND-CTRL","P-011","Katya Fairweather","2025-08-15","2025-08-23","2.6","2.1","Closed"
"WI-0359","REQ-0186","MustShip","NAV-SENS","P-014","Nils Castellan","2026-01-13","2026-03-05","14.7","20.1","Closed"
"WI-0360","REQ-0186","MustShip","NAV-SENS","P-008","Hiroshi Ibarra","2025-12-03","2025-12-23","25.7","24.9","Closed"
"WI-0361","REQ-0187","MustShip","FLT-CTRL","P-020","Tomas Ustinov","2025-03-18","2025-04-10","25.7","25.9","Closed"
"WI-0362","REQ-0188","ShouldShip","STRUCT-I","P-012","Liam Moreau","2025-08-20","2025-09-06","34.7","32.7","Closed"
"WI-0363","REQ-0189","MustShip","FLT-CTRL","P-016","Priya Quintana","2025-07-13","2025-08-21","30.9","37.4","Closed"
"WI-0364","REQ-0190","Nice","COMM-LNK","P-021","Ulrike Dalgleish","2025-12-23","2026-01-08","29.6","27.2","Closed"
"WI-0365","REQ-0190","Nice","COMM-LNK","P-017","Quentin Zielinski","2025-09-24","2025-11-20","21.0","30.4","Closed"
"WI-0366","REQ-0190","Nice","COMM-LNK","P-012","Liam Moreau","2025-08-05","2025-09-19","21.9","28.2","Closed"
"WI-0367","REQ-0191","MustShip","REL-MECH","P-003","Camille Villalobos","2025-07-02","2025-07-27","31.6","32.9","Closed"
"WI-0368","REQ-0191","MustShip","REL-MECH","P-006","Farid Saltzman","2025-10-03","2025-10-25","34.1","34.2","Closed"
"WI-0369","REQ-0191","MustShip","REL-MECH","P-020","Tomas Ustinov","2025-11-18","2025-11-25","15.5","12.6","Closed"
"WI-0370","REQ-0193","MustShip","COMM-LNK","P-012","Liam Moreau","2025-04-07","2025-04-12","31.9","25.0","Closed"
"WI-0371","REQ-0193","MustShip","COMM-LNK","P-001","Aditi Halvorsen","2025-01-28","2025-02-06","33.3","27.9","Closed"
"WI-0372","REQ-0193","MustShip","COMM-LNK","P-011","Katya Fairweather","2025-08-18","2025-09-14","9.9","10.5","Closed"
"WI-0373","REQ-0194","MustShip","PWR-MGMT","P-020","Tomas Ustinov","2025-09-07","2025-09-10","17.8","13.6","Closed"
"WI-0374","REQ-0194","MustShip","PWR-MGMT","P-009","Imani Petrovic","2025-02-22","2025-03-07","18.4","16.3","Closed"
"WI-0375","REQ-0195","MustShip","NAV-SENS","P-011","Katya Fairweather","2025-03-06","2025-03-24","22.4","21.2","Closed"
"WI-0376","REQ-0195","MustShip","NAV-SENS","P-017","Quentin Zielinski","2025-04-29","2025-06-22","24.3","34.2","Closed"
"WI-0377","REQ-0195","MustShip","NAV-SENS","P-017","Quentin Zielinski","2026-03-05","2026-04-18","10.1","13.0","Closed"
"WI-0378","REQ-0196","MustShip","COMM-LNK","P-012","Liam Moreau","2025-06-28","2025-07-12","2.4","2.1","Closed"
"WI-0379","REQ-0196","MustShip","COMM-LNK","P-002","Bruno Oyelaran","2026-05-12","2026-06-22","9.0","11.2","Closed"
"WI-0380","REQ-0196","MustShip","COMM-LNK","P-006","Farid Saltzman","2025-06-14","2025-07-03","23.4","22.3","Closed"
"WI-0381","REQ-0196","MustShip","COMM-LNK","P-016","Priya Quintana","2025-08-18","2025-09-05","27.6","26.3","Closed"
"WI-0382","REQ-0197","MustShip","NAV-SENS","P-008","Hiroshi Ibarra","2026-06-07","2026-07-04","16.8","17.8","Closed"
"WI-0383","REQ-0197","MustShip","NAV-SENS","P-005","Elena Lindqvist","2026-06-01","2026-07-21","28.9","39.3","Closed"
"WI-0384","REQ-0197","MustShip","NAV-SENS","P-006","Farid Saltzman","2026-04-01","2026-04-29","16.7","17.9","Closed"
"WI-0385","REQ-0198","MustShip","REL-MECH","P-011","Katya Fairweather","2026-04-24","2026-06-16","3.8","5.2","Closed"
"WI-0386","REQ-0198","MustShip","REL-MECH","P-008","Hiroshi Ibarra","2025-10-01","","22.7","","Open"
"WI-0387","REQ-0198","MustShip","REL-MECH","P-008","Hiroshi Ibarra","2026-04-13","2026-05-24","3.0","3.7","Closed"
"WI-0388","REQ-0199","MustShip","DIAG-LOG","P-004","Dmitri Eriksen","2025-09-05","2025-10-01","33.6","35.1","Closed"
"WI-0389","REQ-0200","MustShip","NAV-SENS","P-005","Elena Lindqvist","2026-03-22","2026-04-25","12.3","14.2","Closed"
"WI-0390","REQ-0201","ShouldShip","DIAG-LOG","P-003","Camille Villalobos","2025-03-06","2025-04-08","34.5","39.4","Closed"
"WI-0391","REQ-0201","ShouldShip","DIAG-LOG","P-019","Sana Nakamura","2026-04-10","","23.3","","Open"
"WI-0392","REQ-0203","MustShip","FLT-CTRL","P-019","Sana Nakamura","2025-12-11","2026-01-17","24.0","28.5","Closed"
"WI-0393","REQ-0204","ShouldShip","NAV-SENS","P-010","Jonas Weatherby","2025-11-04","2025-12-12","16.4","19.7","Closed"
"WI-0394","REQ-0204","ShouldShip","NAV-SENS","P-016","Priya Quintana","2025-01-23","2025-02-13","12.6","12.5","Closed"
"WI-0395","REQ-0205","ShouldShip","PWR-MGMT","P-020","Tomas Ustinov","2026-03-03","2026-03-07","23.4","18.0","Closed"
"WI-0396","REQ-0206","ShouldShip","NAV-SENS","P-014","Nils Castellan","2025-05-19","2025-06-08","12.1","11.7","Closed"
"WI-0397","REQ-0206","ShouldShip","NAV-SENS","P-007","Grace Baptiste","2025-09-01","2025-09-27","29.2","30.7","Closed"
"WI-0398","REQ-0206","ShouldShip","NAV-SENS","P-021","Ulrike Dalgleish","2025-08-15","2025-08-20","31.9","24.9","Closed"
"WI-0399","REQ-0207","ShouldShip","DIAG-LOG","P-018","Rafael Grigorescu","2025-02-10","2025-03-21","25.1","30.5","Closed"
"WI-0400","REQ-0207","ShouldShip","DIAG-LOG","P-009","Imani Petrovic","2026-01-21","2026-02-14","34.6","35.5","Closed"
"WI-0401","REQ-0207","ShouldShip","DIAG-LOG","P-021","Ulrike Dalgleish","2025-12-23","2026-01-23","18.6","20.7","Closed"
"WI-0402","REQ-0207","ShouldShip","DIAG-LOG","P-005","Elena Lindqvist","2025-11-25","2026-01-15","22.9","31.4","Closed"
"WI-0403","REQ-0208","MustShip","FLT-CTRL","P-016","Priya Quintana","2025-11-26","2025-12-17","31.5","30.8","Closed"
"WI-0404","REQ-0209","ShouldShip","NAV-SENS","P-021","Ulrike Dalgleish","2025-03-11","2025-04-23","6.4","8.1","Closed"
"WI-0405","REQ-0210","MustShip","FLT-CTRL","P-019","Sana Nakamura","2026-03-29","2026-05-16","28.2","37.6","Closed"
"WI-0406","REQ-0210","MustShip","FLT-CTRL","P-021","Ulrike Dalgleish","2025-07-31","2025-09-14","25.6","33.0","Closed"
"WI-0407","REQ-0210","MustShip","FLT-CTRL","P-010","Jonas Weatherby","2025-11-28","2025-12-24","29.8","31.4","Closed"
"WI-0408","REQ-0211","MustShip","REL-MECH","P-007","Grace Baptiste","2025-03-20","2025-04-24","4.4","5.1","Closed"
"WI-0409","REQ-0211","MustShip","REL-MECH","P-012","Liam Moreau","2025-02-04","2025-02-16","13.9","12.1","Closed"
